"HOUSEHOLD DATA - ANNUAL AVERAGES 2018
39. Median weekly earnings of full-time wage and salary workers by detailed occupation and sex. [Numbers in thousands]",,,,,,
Occupations,total_#_ of_workers,total_median_weekly_earnings,male_workers,male_median_weekly_earnings,female_workers,female_median_weekly_earnings
Elementary and middle school teachers,"3,030","1,010",620,"1,148","2,410",982
Secondary school teachers,948,"1,141",392,"1,226",556,"1,092"
Special education teachers,324,"1,039",43,–,281,"1,042"
Other teachers and instructors,388,957,172,"1,095",215,840
"Archivists, curators, and museum technicians",37,–,17,–,20,–
Librarians,127,927,29,–,98,910
Library technicians,10,–,3,–,7,–
Teacher assistants,615,556,62,584,553,550
"Other education, training, and library workers",125,"1,095",30,–,95,"1,036"
"Arts, design, entertainment, sports, and media occupations","1,880","1,086","1,052","1,151",828,997
Artists and related workers,64,"1,078",46,–,18,–
Designers,684,"1,060",357,"1,169",327,932
Actors,7,–,5,–,2,–
Producers and directors,147,"1,224",98,"1,476",49,–
"Athletes, coaches, umpires, and related workers",164,"1,044",129,"1,049",35,–
Dancers and choreographers,11,–,4,–,7,–
"Musicians, singers, and related workers",47,–,28,–,19,–
"Entertainers and performers, sports and related workers, all other",17,–,7,–,10,–
Announcers,26,–,22,–,4,–
"News analysts, reporters and correspondents",59,"1,012",29,–,30,–
Public relations specialists,118,"1,313",40,–,78,"1,169"
Editors,124,"1,112",57,"1,104",67,"1,138"
Technical writers,60,"1,318",25,–,35,–
Writers and authors,110,"1,233",42,–,68,"1,036"
Miscellaneous media and communication workers,62,880,12,–,51,850
Broadcast and sound engineering technicians and radio operators,73,"1,028",66,"1,038",7,–
Photographers,68,904,51,"1,006",16,–
"Television, video, and motion picture camera operators and editors",35,–,30,–,6,–
"Media and communication equipment workers, all other",4,–,4,–,0,–
Healthcare practitioners and technical occupations,"7,154","1,140","1,800","1,383","5,354","1,078"
Chiropractors,15,–,12,–,3,–
Dentists,56,"1,884",27,–,28,–
Dietitians and nutritionists,70,967,8,–,63,940
Optometrists,29,–,13,–,15,–
Pharmacists,263,"2,071",98,"2,271",165,"1,890"
Physicians and surgeons,827,"2,001",475,"2,513",352,"1,677"
Physician assistants,118,"1,752",37,–,80,"1,646"
Podiatrists,4,–,3,–,1,–
Audiologists,8,–,2,–,6,–
Occupational therapists,80,"1,283",16,–,64,"1,252"
Physical therapists,209,"1,395",71,"1,410",139,"1,387"
Radiation therapists,13,–,6,–,8,–
Recreational therapists,11,–,1,–,10,–
Respiratory therapists,95,"1,074",36,–,59,"1,000"
