CoC Number,CoC Name,CoC Category,"Overall Homeless, 2018","Sheltered ES Homeless, 2018","Sheltered TH Homeless, 2018","Sheltered SH Homeless, 2018","Sheltered Total Homeless, 2018","Unsheltered Homeless, 2018","Homeless Individuals, 2018","Sheltered ES Homeless Individuals, 2018","Sheltered TH Homeless Individuals, 2018","Sheltered SH Homeless Individuals, 2018","Sheltered Total Homeless Individuals, 2018","Unsheltered Homeless Individuals, 2018","Homeless People in Families, 2018","Sheltered ES Homeless People in Families, 2018","Sheltered TH Homeless People in Families, 2018","Sheltered Total Homeless People in Families, 2018","Unsheltered Homeless People in Families, 2018","Homeless Family Households, 2018","Sheltered ES Homeless Family Households, 2018","Sheltered TH Homeless Family Households, 2018","Sheltered Total Homeless Family Households, 2018","Unsheltered Homeless Family Households, 2018","Chronically Homeless, 2018","Sheltered ES Chronically Homeless, 2018","Sheltered SH Chronically Homeless, 2018","Sheltered Total Chronically Homeless, 2018","Unsheltered Chronically Homeless, 2018","Chronically Homeless Individuals, 2018","Sheltered ES Chronically Homeless Individuals, 2018","Sheltered SH Chronically Homeless Individuals, 2018","Sheltered Total Chronically Homeless Individuals, 2018","Unsheltered Chronically Homeless Individuals, 2018","Chronically Homeless People in Families, 2018","Sheltered ES Chronically Homeless People in Families, 2018","Sheltered Total Chronically Homeless People in Families, 2018","Unsheltered Chronically Homeless People in Families, 2018","Homeless Veterans, 2018","Sheltered ES Homeless Veterans, 2018","Sheltered TH Homeless Veterans, 2018","Sheltered SH Homeless Veterans, 2018","Sheltered Total Homeless Veterans, 2018","Unsheltered Homeless Veterans, 2018","Homeless Unaccompanied Youth (Under 25), 2018","Sheltered ES Homeless Unaccompanied Youth (Under 25), 2018","Sheltered TH Homeless Unaccompanied Youth (Under 25), 2018","Sheltered SH Homeless Unaccompanied Youth (Under 25), 2018","Sheltered Total Homeless Unaccompanied Youth (Under 25), 2018","Unsheltered Homeless Unaccompanied Youth (Under 25), 2018","Homeless Unaccompanied Youth Under 18, 2018","Sheltered ES Homeless Unaccompanied Youth Under 18, 2018","Sheltered TH Homeless Unaccompanied Youth Under 18, 2018","Sheltered SH Homeless Unaccompanied Youth Under 18, 2018","Sheltered Total Homeless Unaccompanied Youth Under 18, 2018","Unsheltered Homeless Unaccompanied Youth Under 18, 2018","Homeless Unaccompanied Youth Age 18-24, 2018","Sheltered ES Homeless Unaccompanied Youth Age 18-24, 2018","Sheltered TH Homeless Unaccompanied Youth Age 18-24, 2018","Sheltered SH Homeless Unaccompanied Youth Age 18-24, 2018","Sheltered Total Homeless Unaccompanied Youth Age 18-24, 2018","Unsheltered Homeless Unaccompanied Youth Age 18-24, 2018","Homeless Parenting Youth (Under 25), 2018","Sheltered ES Homeless Parenting Youth (Under 25), 2018","Sheltered TH Homeless Parenting Youth (Under 25), 2018","Sheltered Total Homeless Parenting Youth (Under 25), 2018","Unsheltered Homeless Parenting Youth (Under 25), 2018","Homeless Parenting Youth Under 18, 2018","Sheltered ES Homeless Parenting Youth Under 18, 2018","Sheltered TH Homeless Parenting Youth Under 18, 2018","Sheltered Total Homeless Parenting Youth Under 18, 2018","Unsheltered Homeless Parenting Youth Under 18, 2018","Homeless Parenting Youth Age 18-24, 2018","Sheltered ES Homeless Parenting Youth Age 18-24, 2018","Sheltered TH Homeless Parenting Youth Age 18-24, 2018","Sheltered Total Homeless Parenting Youth Age 18-24, 2018","Unsheltered Homeless Parenting Youth Age 18-24, 2018","Homeless Children of Parenting Youth, 2018","Sheltered ES Homeless Children of Parenting Youth, 2018","Sheltered TH Homeless Children of Parenting Youth, 2018","Sheltered Total Homeless Children of Parenting Youth, 2018","Unsheltered Homeless Children of Parenting Youth, 2018"
PR-503,South-Southeast Puerto Rico CoC,Suburban CoCs,"1,539",189,35,4,228,"1,311","1,394",186,35,4,225,"1,169",145,3,0,3,142,38,1,0,1,37,429,86,3,89,340,418,86,3,89,329,11,0,0,11,35,2,11,0,13,22,58,6,0,0,6,52,5,4,0,0,4,1,53,2,0,0,2,51,6,0,0,0,6,0,0,0,0,0,6,0,0,0,6,6,0,0,0,6
RI-500,Rhode Island Statewide CoC,Suburban CoCs,"1,101",739,311,0,"1,050",51,747,557,141,0,698,49,354,182,170,352,2,121,65,55,120,1,264,247,0,247,17,233,216,0,216,17,31,31,31,0,103,37,63,0,100,3,39,32,6,0,38,1,0,0,0,0,0,0,39,32,6,0,38,1,16,8,8,16,0,0,0,0,0,0,16,8,8,16,0,16,6,10,16,0
SC-500,Charleston/Low Country CoC,Suburban CoCs,451,254,80,3,337,114,357,174,77,3,254,103,94,80,3,83,11,27,23,1,24,3,86,52,1,53,33,86,52,1,53,33,0,0,0,0,119,24,79,3,106,13,27,7,1,0,8,19,0,0,0,0,0,0,27,7,1,0,8,19,3,2,0,2,1,0,0,0,0,0,3,2,0,2,1,5,3,0,3,2
SC-501,"Greenville, Anderson, Spartanburg/Upstate CoC",Suburban CoCs,"1,185",705,132,12,849,336,916,538,74,12,624,292,269,167,58,225,44,85,52,20,72,13,181,85,10,95,86,178,82,10,92,86,3,3,3,0,79,42,14,1,57,22,56,33,11,0,44,12,4,2,1,0,3,1,52,31,10,0,41,11,10,6,3,9,1,0,0,0,0,0,10,6,3,9,1,9,5,3,8,1
SC-502,Columbia/Midlands CoC,Suburban CoCs,"1,205",726,279,0,"1,005",200,954,620,146,0,766,188,251,106,133,239,12,84,37,43,80,4,248,166,0,166,82,241,166,0,166,75,7,0,0,7,146,44,80,0,124,22,80,45,22,0,67,13,4,3,1,0,4,0,76,42,21,0,63,13,5,3,2,5,0,0,0,0,0,0,5,3,2,5,0,12,7,5,12,0
SC-503,"Myrtle Beach, Sumter City & County CoC",Rural CoCs,"1,092",312,86,0,398,694,855,240,84,0,324,531,237,72,2,74,163,77,23,1,24,53,171,38,0,38,133,166,33,0,33,133,5,5,5,0,71,27,6,0,33,38,74,19,32,0,51,23,4,2,2,0,4,0,70,17,30,0,47,23,16,4,1,5,11,0,0,0,0,0,16,4,1,5,11,15,4,1,5,10
SD-500,South Dakota Statewide CoC,Rural CoCs,"1,159",707,167,0,874,285,836,476,122,0,598,238,323,231,45,276,47,105,77,14,91,14,190,134,0,134,56,115,67,0,67,48,75,67,67,8,110,30,59,0,89,21,61,30,12,0,42,19,4,2,2,0,4,0,57,28,10,0,38,19,12,6,3,9,3,1,1,0,1,0,11,5,3,8,3,18,7,8,15,3
TN-500,Chattanooga/Southeast Tennessee CoC,Rural CoCs,623,318,12,0,330,293,498,208,2,0,210,288,125,110,10,120,5,28,24,2,26,2,322,136,0,136,186,310,124,0,124,186,12,12,12,0,56,22,0,0,22,34,13,8,0,0,8,5,0,0,0,0,0,0,13,8,0,0,8,5,10,9,0,9,1,0,0,0,0,0,10,9,0,9,1,15,14,0,14,1
TN-501,Memphis/Shelby County CoC,Major Cities,"1,226",598,526,0,"1,124",102,878,505,271,0,776,102,348,93,255,348,0,109,34,75,109,0,87,79,0,79,8,87,79,0,79,8,0,0,0,0,231,98,120,0,218,13,70,42,22,0,64,6,34,18,16,0,34,0,36,24,6,0,30,6,9,4,5,9,0,0,0,0,0,0,9,4,5,9,0,14,10,4,14,0
TN-502,Knoxville/Knox County CoC,Suburban CoCs,743,336,221,0,557,186,674,301,205,0,506,168,69,35,16,51,18,25,13,6,19,6,177,54,0,54,123,162,51,0,51,111,15,3,3,12,66,25,41,0,66,0,85,14,16,0,30,55,5,1,0,0,1,4,80,13,16,0,29,51,4,2,1,3,1,0,0,0,0,0,4,2,1,3,1,4,1,2,3,1
TN-503,Central Tennessee CoC,Rural CoCs,268,148,96,0,244,24,185,73,92,0,165,20,83,75,4,79,4,30,26,2,28,2,46,36,0,36,10,20,10,0,10,10,26,26,26,0,38,6,29,0,35,3,58,13,40,0,53,5,1,0,0,0,0,1,57,13,40,0,53,4,3,3,0,3,0,0,0,0,0,0,3,3,0,3,0,3,3,0,3,0
TN-504,Nashville-Davidson County CoC,Major Cities,"2,298","1,300",377,5,"1,682",616,"2,103","1,147",335,5,"1,487",616,195,153,42,195,0,61,44,17,61,0,637,198,2,200,437,637,198,2,200,437,0,0,0,0,259,38,129,5,172,87,85,63,8,0,71,14,5,5,0,0,5,0,80,58,8,0,66,14,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0
TN-506,Upper Cumberland CoC,Rural CoCs,258,194,18,0,212,46,150,113,8,0,121,29,108,81,10,91,17,32,23,5,28,4,9,5,0,5,4,5,3,0,3,2,4,2,2,2,8,6,1,0,7,1,8,7,0,0,7,1,0,0,0,0,0,0,8,7,0,0,7,1,4,3,1,4,0,0,0,0,0,0,4,3,1,4,0,10,9,1,10,0
TN-507,Jackson/West Tennessee CoC,Rural CoCs,"1,026",80,36,6,122,904,606,52,27,6,85,521,420,28,9,37,383,115,9,4,13,102,72,0,6,6,66,37,0,6,6,31,35,0,0,35,5,1,0,1,2,3,52,0,0,0,0,52,0,0,0,0,0,0,52,0,0,0,0,52,15,1,2,3,12,0,0,0,0,0,15,1,2,3,12,34,1,3,4,30
TN-509,Appalachian Regional CoC,Rural CoCs,360,191,59,0,250,110,291,160,21,0,181,110,69,31,38,69,0,22,10,12,22,0,51,30,0,30,21,51,30,0,30,21,0,0,0,0,37,15,6,0,21,16,22,11,2,0,13,9,3,2,0,0,2,1,19,9,2,0,11,8,2,1,1,2,0,0,0,0,0,0,2,1,1,2,0,2,1,1,2,0
TN-510,Murfreesboro/Rutherford County CoC,Suburban CoCs,283,166,43,0,209,74,229,116,43,0,159,70,54,50,0,50,4,18,17,0,17,1,100,28,0,28,72,96,28,0,28,68,4,0,0,4,17,6,0,0,6,11,8,3,0,0,3,5,0,0,0,0,0,0,8,3,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TN-512,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",Rural CoCs,798,216,82,0,298,500,525,117,46,0,163,362,273,99,36,135,138,86,28,15,43,43,162,35,0,35,127,151,28,0,28,123,11,7,7,4,25,6,1,0,7,18,84,13,16,0,29,55,1,0,0,0,0,1,83,13,16,0,29,54,13,3,2,5,8,0,0,0,0,0,13,3,2,5,8,19,4,2,6,13
TX-500,San Antonio/Bexar County CoC,Major Cities,"3,066","1,311",402,0,"1,713","1,353","2,265",758,154,0,912,"1,353",801,553,248,801,0,232,165,67,232,0,479,225,0,225,254,470,216,0,216,254,9,9,9,0,228,79,89,0,168,60,162,36,24,0,60,102,0,0,0,0,0,0,162,36,24,0,60,102,37,28,9,37,0,0,0,0,0,0,37,28,9,37,0,49,40,9,49,0
TX-503,Austin/Travis County CoC,Major Cities,"2,147",730,388,15,"1,133","1,014","1,595",514,58,15,587,"1,008",552,216,330,546,6,159,65,92,157,2,498,165,8,173,325,484,151,8,159,325,14,14,14,0,170,59,28,15,102,68,98,38,9,0,47,51,11,10,0,0,10,1,87,28,9,0,37,50,29,8,21,29,0,0,0,0,0,0,29,8,21,29,0,47,14,33,47,0
TX-600,"Dallas City & County, Irving CoC",Major Cities,"4,121","1,972",785,23,"2,780","1,341","3,187","1,501",329,23,"1,853","1,334",934,471,456,927,7,301,148,151,299,2,587,416,16,432,155,578,407,16,423,155,9,9,9,0,320,161,93,0,254,66,240,102,85,0,187,53,43,43,0,0,43,0,197,59,85,0,144,53,51,17,34,51,0,0,0,0,0,0,51,17,34,51,0,59,15,44,59,0
TX-601,"Fort Worth, Arlington/Tarrant County CoC",Major Cities,"2,015","1,228",89,20,"1,337",678,"1,605",840,76,20,936,669,410,388,13,401,9,133,126,3,129,4,278,157,14,171,107,254,133,14,147,107,24,24,24,0,159,61,66,1,128,31,87,52,2,0,54,33,10,10,0,0,10,0,77,42,2,0,44,33,5,5,0,5,0,0,0,0,0,0,5,5,0,5,0,5,5,0,5,0
TX-603,El Paso City & County CoC,Major Cities,892,518,197,0,715,177,572,330,65,0,395,177,320,188,132,320,0,98,57,41,98,0,151,126,0,126,25,103,78,0,78,25,48,48,48,0,81,43,15,0,58,23,65,38,6,0,44,21,9,8,1,0,9,0,56,30,5,0,35,21,15,10,5,15,0,1,1,0,1,0,14,9,5,14,0,39,23,16,39,0
TX-604,Waco/McLennan County CoC,Rural CoCs,188,79,50,1,130,58,117,46,12,1,59,58,71,33,38,71,0,20,11,9,20,0,22,4,0,4,18,22,4,0,4,18,0,0,0,0,23,7,6,0,13,10,11,4,4,0,8,3,0,0,0,0,0,0,11,4,4,0,8,3,5,2,3,5,0,0,0,0,0,0,5,2,3,5,0,5,2,3,5,0
TX-607,Texas Balance of State CoC,Rural CoCs,"7,638","2,881",679,0,"3,560","4,078","5,767","1,649",240,0,"1,889","3,878","1,871","1,232",439,"1,671",200,566,374,140,514,52,644,135,0,135,509,638,129,0,129,509,6,6,6,0,451,135,9,0,144,307,443,129,31,0,160,283,31,12,2,0,14,17,412,117,29,0,146,266,67,45,16,61,6,10,6,0,6,4,57,39,16,55,2,114,76,30,106,8
TX-611,Amarillo CoC,Other Urban CoCs,665,558,0,0,558,107,595,488,0,0,488,107,70,70,0,70,0,27,27,0,27,0,47,0,0,0,47,47,0,0,0,47,0,0,0,0,45,38,0,0,38,7,35,34,0,0,34,1,0,0,0,0,0,0,35,34,0,0,34,1,4,4,0,4,0,0,0,0,0,0,4,4,0,4,0,4,4,0,4,0
TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Rural CoCs,238,190,0,5,195,43,212,167,0,5,172,40,26,23,0,23,3,9,8,0,8,1,19,9,0,9,10,19,9,0,9,10,0,0,0,0,15,12,0,0,12,3,35,27,0,0,27,8,13,13,0,0,13,0,22,14,0,0,14,8,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,2,2,0,2,0
TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Major Cities,"4,143","1,714",815,0,"2,529","1,614","3,162",928,620,0,"1,548","1,614",981,786,195,981,0,340,261,79,340,0,669,233,0,233,436,644,208,0,208,436,25,25,25,0,443,93,132,0,225,218,202,96,36,0,132,70,2,2,0,0,2,0,200,94,36,0,130,70,17,15,2,17,0,0,0,0,0,0,17,15,2,17,0,25,23,2,25,0
TX-701,"Bryan, College Station/Brazos Valley CoC",Other Urban CoCs,197,126,0,0,126,71,122,78,0,0,78,44,75,48,0,48,27,32,21,0,21,11,10,6,0,6,4,10,6,0,6,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT-500,Salt Lake City & County CoC,Suburban CoCs,"1,804","1,356",312,0,"1,668",136,"1,184",851,197,0,"1,048",136,620,505,115,620,0,177,144,33,177,0,227,183,0,183,44,222,178,0,178,44,5,5,5,0,187,58,122,0,180,7,112,69,34,0,103,9,2,1,0,0,1,1,110,68,34,0,102,8,22,19,3,22,0,0,0,0,0,0,22,19,3,22,0,28,23,5,28,0
UT-503,Utah Balance of State CoC,Suburban CoCs,899,526,134,0,660,239,605,335,33,0,368,237,294,191,101,292,2,91,60,30,90,1,56,29,0,29,27,53,26,0,26,27,3,3,3,0,47,13,27,0,40,7,66,45,0,0,45,21,11,11,0,0,11,0,55,34,0,0,34,21,13,12,0,12,1,0,0,0,0,0,13,12,0,12,1,20,19,0,19,1
UT-504,Provo/Mountainland CoC,Suburban CoCs,173,64,64,0,128,45,115,38,32,0,70,45,58,26,32,58,0,19,9,10,19,0,23,7,0,7,16,23,7,0,7,16,0,0,0,0,5,1,1,0,2,3,13,9,0,0,9,4,5,5,0,0,5,0,8,4,0,0,4,4,3,2,1,3,0,0,0,0,0,0,3,2,1,3,0,4,2,2,4,0
VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",Suburban CoCs,609,406,93,6,505,104,485,294,81,6,381,104,124,112,12,124,0,49,45,4,49,0,90,65,3,68,22,83,58,3,61,22,7,7,7,0,92,23,59,0,82,10,36,19,9,0,28,8,0,0,0,0,0,0,36,19,9,0,28,8,8,8,0,8,0,0,0,0,0,0,8,8,0,8,0,10,10,0,10,0
VA-501,"Norfolk/Chesapeake, Suffolk, Isle of Wight, Southampton Counties CoC",Suburban CoCs,773,597,96,0,693,80,562,439,43,0,482,80,211,158,53,211,0,66,48,18,66,0,90,78,0,78,12,75,63,0,63,12,15,15,15,0,77,64,5,0,69,8,26,23,1,0,24,2,0,0,0,0,0,0,26,23,1,0,24,2,19,12,7,19,0,0,0,0,0,0,19,12,7,19,0,34,23,11,34,0
VA-502,"Roanoke City & County, Salem CoC",Suburban CoCs,317,306,0,0,306,11,228,217,0,0,217,11,89,89,0,89,0,28,28,0,28,0,36,35,0,35,1,28,27,0,27,1,8,8,8,0,37,37,0,0,37,0,11,10,0,0,10,1,0,0,0,0,0,0,11,10,0,0,10,1,4,4,0,4,0,0,0,0,0,0,4,4,0,4,0,7,7,0,7,0
VA-503,Virginia Beach CoC,Major Cities,243,162,9,0,171,72,198,126,9,0,135,63,45,36,0,36,9,14,12,0,12,2,40,30,0,30,10,40,30,0,30,10,0,0,0,0,33,15,9,0,24,9,23,18,0,0,18,5,8,8,0,0,8,0,15,10,0,0,10,5,3,3,0,3,0,0,0,0,0,0,3,3,0,3,0,5,5,0,5,0
VA-504,Charlottesville CoC,Rural CoCs,183,134,21,0,155,28,142,114,0,0,114,28,41,20,21,41,0,11,7,4,11,0,41,28,0,28,13,41,28,0,28,13,0,0,0,0,14,9,0,0,9,5,9,8,0,0,8,1,0,0,0,0,0,0,9,8,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA-505,"Newport News, Hampton/Virginia Peninsula CoC",Other Urban CoCs,439,293,76,0,369,70,316,214,32,0,246,70,123,79,44,123,0,41,26,15,41,0,63,50,0,50,13,55,42,0,42,13,8,8,8,0,58,36,16,0,52,6,22,18,0,0,18,4,0,0,0,0,0,0,22,18,0,0,18,4,4,3,1,4,0,0,0,0,0,0,4,3,1,4,0,5,3,2,5,0
VA-507,Portsmouth CoC,Other Urban CoCs,135,81,26,0,107,28,84,43,13,0,56,28,51,38,13,51,0,21,16,5,21,0,13,6,0,6,7,13,6,0,6,7,0,0,0,0,12,7,1,0,8,4,3,2,1,0,3,0,0,0,0,0,0,0,3,2,1,0,3,0,2,2,0,2,0,0,0,0,0,0,2,2,0,2,0,4,4,0,4,0
VA-508,Lynchburg CoC,Rural CoCs,112,92,0,0,92,20,84,64,0,0,64,20,28,28,0,28,0,9,9,0,9,0,8,2,0,2,6,8,2,0,2,6,0,0,0,0,10,8,0,0,8,2,18,14,0,0,14,4,0,0,0,0,0,0,18,14,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA-513,"Harrisburg, Winchester/Western Virginia CoC",Rural CoCs,304,260,16,0,276,28,217,176,16,0,192,25,87,84,0,84,3,26,25,0,25,1,42,42,0,42,0,24,24,0,24,0,18,18,18,0,15,9,3,0,12,3,7,7,0,0,7,0,0,0,0,0,0,0,7,7,0,0,7,0,3,3,0,3,0,0,0,0,0,0,3,3,0,3,0,3,3,0,3,0
VA-514,"Fredericksburg/Spotsylvania, Stafford Counties CoC",Suburban CoCs,200,164,0,0,164,36,128,95,0,0,95,33,72,69,0,69,3,20,19,0,19,1,36,23,0,23,13,31,18,0,18,13,5,5,5,0,22,18,0,0,18,4,11,10,0,0,10,1,0,0,0,0,0,0,11,10,0,0,10,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,2,2,0,2,0
VA-521,Virginia Balance of State CoC,Rural CoCs,718,442,111,0,553,165,421,268,23,0,291,130,297,174,88,262,35,98,56,30,86,12,38,12,0,12,26,36,10,0,10,26,2,2,2,0,36,26,2,0,28,8,31,19,3,0,22,9,0,0,0,0,0,0,31,19,3,0,22,9,9,7,0,7,2,0,0,0,0,0,9,7,0,7,2,12,10,0,10,2
VA-600,Arlington County CoC,Other Urban CoCs,221,173,13,0,186,35,144,104,5,0,109,35,77,69,8,77,0,28,24,4,28,0,57,30,0,30,27,57,30,0,30,27,0,0,0,0,8,4,2,0,6,2,2,2,0,0,2,0,0,0,0,0,0,0,2,2,0,0,2,0,7,3,4,7,0,0,0,0,0,0,7,3,4,7,0,6,2,4,6,0
VA-601,Fairfax County CoC,Suburban CoCs,987,686,215,0,901,86,499,393,20,0,413,86,488,293,195,488,0,151,92,59,151,0,173,119,0,119,54,171,117,0,117,54,2,2,2,0,33,22,0,0,22,11,53,31,20,0,51,2,2,2,0,0,2,0,51,29,20,0,49,2,26,14,12,26,0,0,0,0,0,0,26,14,12,26,0,36,19,17,36,0
VA-602,Loudoun County CoC,Suburban CoCs,134,96,14,0,110,24,86,56,6,0,62,24,48,40,8,48,0,15,13,2,15,0,28,21,0,21,7,22,15,0,15,7,6,6,6,0,6,4,2,0,6,0,7,5,1,0,6,1,0,0,0,0,0,0,7,5,1,0,6,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,2,2,0,2,0
VA-603,Alexandria CoC,Other Urban CoCs,226,164,35,12,211,15,142,103,12,12,127,15,84,61,23,84,0,29,22,7,29,0,60,40,11,51,9,57,37,11,48,9,3,3,3,0,8,7,1,0,8,0,7,4,2,1,7,0,0,0,0,0,0,0,7,4,2,1,7,0,5,4,1,5,0,0,0,0,0,0,5,4,1,5,0,8,5,3,8,0
VA-604,Prince William County CoC,Suburban CoCs,374,176,85,0,261,113,192,78,4,0,82,110,182,98,81,179,3,54,30,23,53,1,82,27,0,27,55,71,16,0,16,55,11,11,11,0,24,10,1,0,11,13,20,9,0,0,9,11,2,2,0,0,2,0,18,7,0,0,7,11,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,2,2,0,2,0
VI-500,Virgin Islands CoC,Rural CoCs,486,137,42,0,179,307,415,77,31,0,108,307,71,60,11,71,0,26,22,4,26,0,307,0,0,0,307,307,0,0,0,307,0,0,0,0,24,4,3,0,7,17,4,2,0,0,2,2,0,0,0,0,0,0,4,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VT-500,Vermont Balance of State CoC,Rural CoCs,932,734,133,0,867,65,525,376,97,0,473,52,407,358,36,394,13,136,120,12,132,4,118,104,0,104,14,99,89,0,89,10,19,15,15,4,79,26,46,0,72,7,78,41,29,0,70,8,6,3,3,0,6,0,72,38,26,0,64,8,22,20,2,22,0,0,0,0,0,0,22,20,2,22,0,24,19,5,24,0
VT-501,Burlington/Chittenden County CoC,Other Urban CoCs,359,295,47,0,342,17,255,205,33,0,238,17,104,90,14,104,0,33,28,5,33,0,42,34,0,34,8,39,31,0,31,8,3,3,3,0,25,8,16,0,24,1,23,19,4,0,23,0,0,0,0,0,0,0,23,19,4,0,23,0,11,10,1,11,0,0,0,0,0,0,11,10,1,11,0,12,11,1,12,0
WA-500,Seattle/King County CoC,Major Cities,"12,112","3,585","2,166",41,"5,792","6,320","9,488","2,462",744,41,"3,247","6,241","2,624","1,123","1,422","2,545",79,782,325,432,757,25,"3,552","1,001",37,"1,038","2,514","3,437",902,37,939,"2,498",115,99,99,16,921,215,176,1,392,529,"1,518",204,180,0,384,"1,134",172,20,14,0,34,138,"1,346",184,166,0,350,996,102,27,69,96,6,2,0,2,2,0,100,27,67,94,6,130,40,82,122,8
WA-501,Washington Balance of State CoC,Rural CoCs,"5,666","1,960","1,217",0,"3,177","2,489","3,730","1,266",403,0,"1,669","2,061","1,936",694,814,"1,508",428,593,209,256,465,128,"1,493",300,0,300,"1,193","1,351",265,0,265,"1,086",142,35,35,107,390,124,91,0,215,175,356,132,74,0,206,150,32,23,0,0,23,9,324,109,74,0,183,141,52,14,27,41,11,1,0,0,0,1,51,14,27,41,10,77,25,35,60,17
WA-502,Spokane City & County CoC,Other Urban CoCs,"1,245",735,200,0,935,310,917,567,55,0,622,295,328,168,145,313,15,119,63,52,115,4,265,159,0,159,106,249,143,0,143,106,16,16,16,0,96,55,12,0,67,29,101,49,19,0,68,33,20,15,4,0,19,1,81,34,15,0,49,32,12,5,7,12,0,0,0,0,0,0,12,5,7,12,0,11,4,7,11,0
WA-503,"Tacoma, Lakewood/Pierce County CoC",Suburban CoCs,"1,628",743,135,0,878,750,"1,224",465,29,0,494,730,404,278,106,384,20,128,81,39,120,8,366,188,0,188,178,318,146,0,146,172,48,42,42,6,140,56,4,0,60,80,96,39,8,0,47,49,14,6,6,0,12,2,82,33,2,0,35,47,18,10,7,17,1,0,0,0,0,0,18,10,7,17,1,19,11,7,18,1
WA-504,Everett/Snohomish County CoC,Suburban CoCs,858,364,116,0,480,378,612,192,75,0,267,345,246,172,41,213,33,74,53,13,66,8,367,97,0,97,270,313,73,0,73,240,54,24,24,30,52,20,0,0,20,32,70,13,26,0,39,31,24,5,9,0,14,10,46,8,17,0,25,21,10,6,3,9,1,3,0,3,3,0,7,6,0,6,1,14,10,3,13,1
WA-508,Vancouver/Clark County CoC,Suburban CoCs,795,265,156,0,421,374,453,151,69,0,220,233,342,114,87,201,141,104,31,29,60,44,115,55,0,55,60,107,53,0,53,54,8,2,2,6,37,9,7,0,16,21,43,16,3,0,19,24,11,5,0,0,5,6,32,11,3,0,14,18,9,2,7,9,0,1,0,1,1,0,8,2,6,8,0,9,2,7,9,0
WI-500,Wisconsin Balance of State CoC,Rural CoCs,"3,147","1,990","1,023",7,"3,020",127,"1,497","1,154",229,7,"1,390",107,"1,650",836,794,"1,630",20,502,250,245,495,7,285,267,6,273,12,227,209,6,215,12,58,58,58,0,165,74,87,0,161,4,132,92,34,0,126,6,4,2,1,0,3,1,128,90,33,0,123,5,76,30,44,74,2,0,0,0,0,0,76,30,44,74,2,117,50,66,116,1
WI-501,Milwaukee City & County CoC,Major Cities,871,565,99,46,710,161,658,371,85,46,502,156,213,194,14,208,5,67,59,6,65,2,96,41,23,64,32,93,38,23,61,32,3,3,3,0,85,20,58,1,79,6,77,40,11,5,56,21,13,13,0,0,13,0,64,27,11,5,43,21,11,4,6,10,1,0,0,0,0,0,11,4,6,10,1,12,3,8,11,1
WI-502,Racine City & County CoC,Suburban CoCs,275,204,61,0,265,10,176,131,35,0,166,10,99,73,26,99,0,28,21,7,28,0,22,20,0,20,2,16,14,0,14,2,6,6,6,0,38,6,32,0,38,0,6,3,2,0,5,1,0,0,0,0,0,0,6,3,2,0,5,1,3,2,1,3,0,0,0,0,0,0,3,2,1,3,0,5,4,1,5,0
WI-503,Madison/Dane County CoC,Other Urban CoCs,614,380,136,14,530,84,409,241,70,14,325,84,205,139,66,205,0,63,41,22,63,0,124,88,4,92,32,110,74,4,78,32,14,14,14,0,44,20,23,0,43,1,31,22,6,0,28,3,5,5,0,0,5,0,26,17,6,0,23,3,12,3,9,12,0,0,0,0,0,0,12,3,9,12,0,18,5,13,18,0
WV-500,"Wheeling, Weirton Area CoC",Rural CoCs,108,72,26,0,98,10,83,64,9,0,73,10,25,8,17,25,0,9,2,7,9,0,21,13,0,13,8,21,13,0,13,8,0,0,0,0,8,4,2,0,6,2,6,6,0,0,6,0,0,0,0,0,0,0,6,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WV-501,"Huntington/Cabell, Wayne Counties CoC",Rural CoCs,190,142,17,10,169,21,149,115,3,10,128,21,41,27,14,41,0,13,9,4,13,0,6,2,1,3,3,6,2,1,3,3,0,0,0,0,14,12,0,0,12,2,11,7,0,0,7,4,0,0,0,0,0,0,11,7,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
