CoC Number,CoC Name,CoC Category,"Overall Homeless, 2018","Sheltered ES Homeless, 2018","Sheltered TH Homeless, 2018","Sheltered SH Homeless, 2018","Sheltered Total Homeless, 2018","Unsheltered Homeless, 2018","Homeless Individuals, 2018","Sheltered ES Homeless Individuals, 2018","Sheltered TH Homeless Individuals, 2018","Sheltered SH Homeless Individuals, 2018","Sheltered Total Homeless Individuals, 2018","Unsheltered Homeless Individuals, 2018","Homeless People in Families, 2018","Sheltered ES Homeless People in Families, 2018","Sheltered TH Homeless People in Families, 2018","Sheltered Total Homeless People in Families, 2018","Unsheltered Homeless People in Families, 2018","Homeless Family Households, 2018","Sheltered ES Homeless Family Households, 2018","Sheltered TH Homeless Family Households, 2018","Sheltered Total Homeless Family Households, 2018","Unsheltered Homeless Family Households, 2018","Chronically Homeless, 2018","Sheltered ES Chronically Homeless, 2018","Sheltered SH Chronically Homeless, 2018","Sheltered Total Chronically Homeless, 2018","Unsheltered Chronically Homeless, 2018","Chronically Homeless Individuals, 2018","Sheltered ES Chronically Homeless Individuals, 2018","Sheltered SH Chronically Homeless Individuals, 2018","Sheltered Total Chronically Homeless Individuals, 2018","Unsheltered Chronically Homeless Individuals, 2018","Chronically Homeless People in Families, 2018","Sheltered ES Chronically Homeless People in Families, 2018","Sheltered Total Chronically Homeless People in Families, 2018","Unsheltered Chronically Homeless People in Families, 2018","Homeless Veterans, 2018","Sheltered ES Homeless Veterans, 2018","Sheltered TH Homeless Veterans, 2018","Sheltered SH Homeless Veterans, 2018","Sheltered Total Homeless Veterans, 2018","Unsheltered Homeless Veterans, 2018","Homeless Unaccompanied Youth (Under 25), 2018","Sheltered ES Homeless Unaccompanied Youth (Under 25), 2018","Sheltered TH Homeless Unaccompanied Youth (Under 25), 2018","Sheltered SH Homeless Unaccompanied Youth (Under 25), 2018","Sheltered Total Homeless Unaccompanied Youth (Under 25), 2018","Unsheltered Homeless Unaccompanied Youth (Under 25), 2018","Homeless Unaccompanied Youth Under 18, 2018","Sheltered ES Homeless Unaccompanied Youth Under 18, 2018","Sheltered TH Homeless Unaccompanied Youth Under 18, 2018","Sheltered SH Homeless Unaccompanied Youth Under 18, 2018","Sheltered Total Homeless Unaccompanied Youth Under 18, 2018","Unsheltered Homeless Unaccompanied Youth Under 18, 2018","Homeless Unaccompanied Youth Age 18-24, 2018","Sheltered ES Homeless Unaccompanied Youth Age 18-24, 2018","Sheltered TH Homeless Unaccompanied Youth Age 18-24, 2018","Sheltered SH Homeless Unaccompanied Youth Age 18-24, 2018","Sheltered Total Homeless Unaccompanied Youth Age 18-24, 2018","Unsheltered Homeless Unaccompanied Youth Age 18-24, 2018","Homeless Parenting Youth (Under 25), 2018","Sheltered ES Homeless Parenting Youth (Under 25), 2018","Sheltered TH Homeless Parenting Youth (Under 25), 2018","Sheltered Total Homeless Parenting Youth (Under 25), 2018","Unsheltered Homeless Parenting Youth (Under 25), 2018","Homeless Parenting Youth Under 18, 2018","Sheltered ES Homeless Parenting Youth Under 18, 2018","Sheltered TH Homeless Parenting Youth Under 18, 2018","Sheltered Total Homeless Parenting Youth Under 18, 2018","Unsheltered Homeless Parenting Youth Under 18, 2018","Homeless Parenting Youth Age 18-24, 2018","Sheltered ES Homeless Parenting Youth Age 18-24, 2018","Sheltered TH Homeless Parenting Youth Age 18-24, 2018","Sheltered Total Homeless Parenting Youth Age 18-24, 2018","Unsheltered Homeless Parenting Youth Age 18-24, 2018","Homeless Children of Parenting Youth, 2018","Sheltered ES Homeless Children of Parenting Youth, 2018","Sheltered TH Homeless Children of Parenting Youth, 2018","Sheltered Total Homeless Children of Parenting Youth, 2018","Unsheltered Homeless Children of Parenting Youth, 2018"
NJ-504,Newark/Essex County CoC,Suburban CoCs,"2,228","1,337",495,0,"1,832",396,"1,367",785,193,0,978,389,861,552,302,854,7,299,188,108,296,3,250,53,0,53,197,250,53,0,53,197,0,0,0,0,76,51,10,0,61,15,147,98,22,0,120,27,5,0,3,0,3,2,142,98,19,0,117,25,97,46,50,96,1,0,0,0,0,0,97,46,50,96,1,117,55,61,116,1
NJ-506,"Jersey City, Bayonne/Hudson County CoC",Suburban CoCs,860,588,29,0,617,243,672,408,21,0,429,243,188,180,8,188,0,67,65,2,67,0,226,66,0,66,160,224,64,0,64,160,2,2,2,0,26,17,1,0,18,8,34,21,2,0,23,11,0,0,0,0,0,0,34,21,2,0,23,11,18,16,2,18,0,0,0,0,0,0,18,16,2,18,0,30,24,6,30,0
NJ-507,New Brunswick/Middlesex County CoC,Suburban CoCs,597,441,25,0,466,131,355,199,25,0,224,131,242,242,0,242,0,75,75,0,75,0,88,42,0,42,46,80,34,0,34,46,8,8,8,0,16,3,1,0,4,12,12,6,0,0,6,6,0,0,0,0,0,0,12,6,0,0,6,6,16,16,0,16,0,0,0,0,0,0,16,16,0,16,0,23,23,0,23,0
NJ-508,Monmouth County CoC,Suburban CoCs,335,129,134,0,263,72,187,84,31,0,115,72,148,45,103,148,0,45,13,32,45,0,40,12,0,12,28,40,12,0,12,28,0,0,0,0,10,7,0,0,7,3,7,5,0,0,5,2,0,0,0,0,0,0,7,5,0,0,5,2,6,1,5,6,0,0,0,0,0,0,6,1,5,6,0,9,2,7,9,0
NJ-509,Morris County CoC,Suburban CoCs,398,221,123,19,363,35,249,128,67,19,214,35,149,93,56,149,0,49,29,20,49,0,65,29,14,43,22,58,22,14,36,22,7,7,7,0,10,5,2,2,9,1,21,6,11,0,17,4,0,0,0,0,0,0,21,6,11,0,17,4,4,2,2,4,0,0,0,0,0,0,4,2,2,4,0,6,4,2,6,0
NJ-510,Lakewood Township/Ocean County CoC,Suburban CoCs,354,201,51,0,252,102,193,86,8,0,94,99,161,115,43,158,3,47,35,11,46,1,52,19,0,19,33,44,11,0,11,33,8,8,8,0,10,4,0,0,4,6,20,8,8,0,16,4,7,6,1,0,7,0,13,2,7,0,9,4,3,3,0,3,0,0,0,0,0,0,3,3,0,3,0,5,5,0,5,0
NJ-511,Paterson/Passaic County CoC,Suburban CoCs,434,296,26,0,322,112,284,163,9,0,172,112,150,133,17,150,0,54,47,7,54,0,95,45,0,45,50,89,39,0,39,50,6,6,6,0,10,2,0,0,2,8,20,10,6,0,16,4,0,0,0,0,0,0,20,10,6,0,16,4,14,12,2,14,0,0,0,0,0,0,14,12,2,14,0,22,19,3,22,0
NJ-512,Salem County CoC,Suburban CoCs,49,31,13,0,44,5,14,6,3,0,9,5,35,25,10,35,0,8,6,2,8,0,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NJ-513,Somerset County CoC,Suburban CoCs,218,63,149,0,212,6,152,21,125,0,146,6,66,42,24,66,0,25,15,10,25,0,5,3,0,3,2,5,3,0,3,2,0,0,0,0,87,0,86,0,86,1,21,5,15,0,20,1,2,2,0,0,2,0,19,3,15,0,18,1,5,3,2,5,0,0,0,0,0,0,5,3,2,5,0,6,2,4,6,0
NJ-514,Trenton/Mercer County CoC,Suburban CoCs,479,319,97,0,416,63,337,193,81,0,274,63,142,126,16,142,0,47,41,6,47,0,46,25,0,25,21,46,25,0,25,21,0,0,0,0,18,12,1,0,13,5,28,10,15,0,25,3,1,1,0,0,1,0,27,9,15,0,24,3,10,10,0,10,0,0,0,0,0,0,10,10,0,10,0,17,17,0,17,0
NJ-515,Elizabeth/Union County CoC,Suburban CoCs,478,313,124,0,437,41,209,159,20,0,179,30,269,154,104,258,11,88,52,33,85,3,43,38,0,38,5,23,18,0,18,5,20,20,20,0,7,5,1,0,6,1,15,9,5,0,14,1,1,1,0,0,1,0,14,8,5,0,13,1,16,6,9,15,1,0,0,0,0,0,16,6,9,15,1,20,7,11,18,2
NJ-516,"Warren, Sussex, Hunterdon Counties CoC",Suburban CoCs,338,169,107,0,276,62,243,97,96,0,193,50,95,72,11,83,12,28,22,3,25,3,30,15,0,15,15,24,9,0,9,15,6,6,6,0,66,6,57,0,63,3,18,13,2,0,15,3,1,1,0,0,1,0,17,12,2,0,14,3,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0
NM-500,Albuquerque CoC,Major Cities,"1,340",711,245,0,956,384,"1,115",568,179,0,747,368,225,143,66,209,16,69,42,22,64,5,421,251,0,251,170,381,220,0,220,161,40,31,31,9,169,70,58,0,128,41,118,63,29,0,92,26,53,44,8,0,52,1,65,19,21,0,40,25,3,2,1,3,0,0,0,0,0,0,3,2,1,3,0,4,3,1,4,0
NM-501,New Mexico Balance of State CoC,Rural CoCs,"1,211",657,142,0,799,412,834,453,31,0,484,350,377,204,111,315,62,132,78,32,110,22,470,289,0,289,181,433,267,0,267,166,37,22,22,15,121,42,7,0,49,72,64,33,14,0,47,17,20,17,3,0,20,0,44,16,11,0,27,17,10,4,6,10,0,0,0,0,0,0,10,4,6,10,0,13,5,8,13,0
NV-500,Las Vegas/Clark County CoC,Major Cities,"6,083","1,659",524,16,"2,199","3,884","5,786","1,412",507,16,"1,935","3,851",297,247,17,264,33,106,87,8,95,11,505,178,11,189,316,505,178,11,189,316,0,0,0,0,594,148,281,0,429,165,"1,295",63,87,0,150,"1,145",214,6,11,0,17,197,"1,081",57,76,0,133,948,21,11,8,19,2,2,1,1,2,0,19,10,7,17,2,26,15,9,24,2
NV-501,"Reno, Sparks/Washoe County CoC",Other Urban CoCs,"1,192",436,387,185,"1,008",184,"1,051",339,343,185,867,184,141,97,44,141,0,46,30,16,46,0,106,25,46,71,35,106,25,46,71,35,0,0,0,0,119,9,83,7,99,20,94,23,45,3,71,23,14,14,0,0,14,0,80,9,45,3,57,23,8,5,3,8,0,1,0,1,1,0,7,5,2,7,0,9,6,3,9,0
NV-502,Nevada Balance of State CoC,Rural CoCs,269,88,10,0,98,171,221,70,1,0,71,150,48,18,9,27,21,15,8,2,10,5,37,15,0,15,22,26,4,0,4,22,11,11,11,0,10,2,0,0,2,8,15,6,0,0,6,9,0,0,0,0,0,0,15,6,0,0,6,9,6,6,0,6,0,0,0,0,0,0,6,6,0,6,0,7,7,0,7,0
NY-500,"Rochester, Irondequoit, Greece/Monroe County CoC",Suburban CoCs,835,636,130,13,779,56,543,346,128,13,487,56,292,290,2,292,0,96,95,1,96,0,90,74,6,80,10,90,74,6,80,10,0,0,0,0,73,13,50,2,65,8,78,54,23,1,78,0,13,9,4,0,13,0,65,45,19,1,65,0,23,20,3,23,0,2,0,2,2,0,21,20,1,21,0,31,28,3,31,0
NY-501,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC",Rural CoCs,233,155,64,0,219,14,119,92,13,0,105,14,114,63,51,114,0,34,19,15,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,20,2,0,22,5,0,0,0,0,0,0,27,20,2,0,22,5,9,7,2,9,0,0,0,0,0,0,9,7,2,9,0,10,8,2,10,0
NY-503,Albany City & County CoC,Suburban CoCs,835,657,143,0,800,35,580,431,114,0,545,35,255,226,29,255,0,84,70,14,84,0,99,72,0,72,27,92,65,0,65,27,7,7,7,0,84,51,30,0,81,3,44,27,17,0,44,0,2,0,2,0,2,0,42,27,15,0,42,0,12,9,3,12,0,0,0,0,0,0,12,9,3,12,0,24,20,4,24,0
NY-504,Cattaragus County CoC,Rural CoCs,33,33,0,0,33,0,21,21,0,0,21,0,12,12,0,12,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,3,0,0,3,0,0,0,0,0,0,0,3,3,0,0,3,0,3,3,0,3,0,0,0,0,0,0,3,3,0,3,0,4,4,0,4,0
NY-505,"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC",Suburban CoCs,722,547,163,0,710,12,540,415,113,0,528,12,182,132,50,182,0,60,42,18,60,0,36,34,0,34,2,36,34,0,34,2,0,0,0,0,41,19,22,0,41,0,69,51,18,0,69,0,14,10,4,0,14,0,55,41,14,0,55,0,6,4,2,6,0,0,0,0,0,0,6,4,2,6,0,6,5,1,6,0
NY-507,Schenectady City & County CoC,Suburban CoCs,393,345,37,0,382,11,214,185,18,0,203,11,179,160,19,179,0,54,46,8,54,0,38,38,0,38,0,34,34,0,34,0,4,4,4,0,26,21,1,0,22,4,31,27,3,0,30,1,2,2,0,0,2,0,29,25,3,0,28,1,8,5,3,8,0,0,0,0,0,0,8,5,3,8,0,9,6,3,9,0
